iter	Passed	Remaining
0	4	3285
1	13	4493
2	18	4042
3	23	3867
4	27	3631
5	31	3478
6	35	3418
7	40	3336
8	44	3273
9	47	3180
10	51	3088
11	55	3036
12	59	3006
13	63	2978
14	67	2955
15	70	2905
16	72	2815
17	77	2809
18	80	2773
19	84	2747
20	87	2721
21	91	2703
22	95	2714
23	100	2713
24	103	2699
25	107	2681
26	111	2665
27	115	2655
28	118	2643
29	122	2633
30	126	2621
31	130	2614
32	134	2608
33	137	2596
34	141	2588
35	145	2587
36	150	2583
37	153	2572
38	158	2574
39	162	2572
40	166	2564
41	170	2559
42	174	2555
43	178	2551
44	182	2551
45	186	2540
46	189	2527
47	192	2514
48	196	2504
49	199	2494
50	203	2482
51	206	2472
52	210	2465
53	213	2454
54	217	2446
55	220	2436
56	224	2426
57	227	2417
58	231	2409
59	234	2403
60	238	2395
61	241	2387
62	245	2380
63	248	2372
64	252	2363
65	255	2355
66	259	2347
67	262	2341
68	266	2332
69	269	2325
70	273	2321
71	276	2313
72	280	2306
73	283	2297
74	286	2290
75	288	2273
76	292	2265
77	295	2259
78	299	2254
79	302	2248
80	306	2242
81	309	2235
82	312	2228
83	316	2221
84	320	2220
85	325	2224
86	328	2217
87	332	2211
88	335	2205
89	339	2199
90	342	2196
91	346	2192
92	350	2190
93	354	2189
94	358	2186
95	362	2181
96	365	2175
97	369	2169
98	372	2164
99	376	2159
100	379	2153
101	383	2148
102	386	2143
103	391	2143
104	395	2141
105	398	2136
106	402	2131
107	407	2133
108	410	2128
109	413	2122
110	417	2115
111	420	2109
112	423	2104
113	427	2102
114	431	2099
115	435	2095
116	438	2089
117	443	2087
118	446	2083
119	449	2076
120	452	2070
121	456	2065
122	459	2060
123	463	2055
124	466	2050
125	470	2045
126	475	2046
127	479	2043
128	482	2040
129	486	2037
130	490	2034
131	494	2029
132	497	2023
133	500	2018
134	504	2014
135	507	2009
136	511	2004
137	514	1998
138	518	1994
139	521	1989
140	524	1984
141	528	1979
142	531	1974
143	535	1971
144	539	1966
145	542	1961
146	545	1956
147	549	1951
148	552	1946
149	556	1942
150	559	1937
151	563	1935
152	567	1932
153	571	1930
154	576	1929
155	580	1927
156	584	1924
157	589	1924
158	593	1923
159	598	1921
160	602	1919
161	605	1915
162	609	1909
163	612	1905
164	616	1900
165	619	1896
166	622	1891
167	626	1886
168	629	1881
169	634	1882
170	639	1880
171	642	1876
172	646	1871
173	649	1866
174	652	1861
175	656	1857
176	659	1852
177	663	1849
178	667	1844
179	670	1839
180	673	1835
181	677	1830
182	680	1825
183	684	1823
184	688	1819
185	691	1815
186	695	1810
187	698	1805
188	701	1800
189	705	1796
190	708	1792
191	712	1787
192	716	1785
193	720	1782
194	724	1779
195	728	1777
196	732	1774
197	738	1775
198	745	1778
199	750	1779
200	754	1775
201	760	1776
202	765	1776
203	772	1778
204	777	1777
205	781	1776
206	786	1774
207	790	1770
208	794	1766
209	797	1762
210	801	1758
211	804	1753
212	808	1749
213	811	1744
214	815	1740
215	818	1736
216	822	1732
217	827	1731
218	832	1729
219	837	1728
220	842	1727
221	847	1724
222	852	1723
223	856	1721
224	861	1718
225	868	1721
226	876	1726
227	881	1723
228	891	1732
229	896	1729
230	899	1724
231	903	1720
232	906	1715
233	909	1710
234	913	1706
235	916	1701
236	919	1696
237	923	1691
238	926	1687
239	930	1682
240	933	1677
241	937	1672
242	940	1668
243	944	1664
244	949	1662
245	955	1661
246	959	1659
247	967	1661
248	972	1660
249	977	1658
250	984	1659
251	990	1658
252	995	1656
253	1001	1655
254	1006	1653
255	1010	1650
256	1015	1647
257	1020	1645
258	1025	1642
259	1030	1640
260	1035	1638
261	1040	1636
262	1047	1637
263	1052	1633
264	1056	1630
265	1061	1627
266	1065	1623
267	1069	1620
268	1075	1619
269	1082	1619
270	1088	1618
271	1096	1620
272	1106	1625
273	1113	1626
274	1118	1623
275	1125	1622
276	1131	1622
277	1138	1621
